a  /ah /a
intervals  /ih en t er v el z /i n t er v al s
interview  /ih en t er v y uw /i n t er v * iew  
interviewee  /ih en t er v y uw iy /i n t er v * i ewee  
interweaving  /ih en t er w iy v ih ng /i n t er w ea v i ng
intimate  /ih en t ah m ah t /i n t i m a te  
into  /ih en t uw /i n t o
introduced  /ih en t r ah d uw s t /i n t r o d u c ed
intrusions  /ih en t r uw sh ih en z /i n t r u si o n s
intuition  /ih en t uw ih sh ih en /i n t u i * * tion
invade  /ih en v ey d /i n v a de  
invaluable  /ih en v ae el y uh b el /i n v a l * ua b le  
invariably  /ih en v ae r iy ah b el iy /i n v a r i a b l y
inventories  /ih en v ah en t ao r iy z /i n v e n t o r ie s
invest  /ih en v eh s t /i n v e s t
investigation  /ih en v eh s t ih g ey sh ih en /i n v e s t i g a * * tion
investigations  /ih en v eh s t ih g ey sh ih en z /i n v e s t i g a * * tion s
inviolate  /ih en v ay el ih t /i n v io l a te  
invitation  /ih en v ih t ey sh ih en /i n v i t a * * tion
invoked  /ih en v ow k t /i n v o k ed
involved  /ih en v ao el v d /i n v o l v ed
involves  /ih en v ao el v z /i n v o l ve s
involving  /ih en v ao el v ih ng /i n v o l v i ng
inward  /ih en w er d /i n w ar d
inwardly  /ih en w er d el iy /i n w ar d l y
irate  /ay r ey t /i r a te  
iris  /ay r ih s /i r i s
irish  /ay r ih sh /i r i sh
iron  /ay er en /i r on
iron-poor  /ay er en p uh r /i r on- p oo r
ironic  /ay r ao en ih k /i r o n i c
ironically  /ay r ao en ih k el iy /i r o n i c all y
ironing  /ay er en ih ng /i r on i ng
irons  /ay er en z /i r on s
irradiation  /ih r ey d iy ey sh ih en /i rr a d i a * * tion
irremediable  /ih r ih m iy d iy ah b el /i rr e m e d i a b le  
irresponsible  /ih r ih s p ao en s ah b el /i rr e s p o n s i b le  
irritated  /ih r ah t ey t ih d /i rr i t a t e d
irving's  /er v ih ng z /ir v i ng' s
is  /ih z /i s
isn't  /ih z en t /i s n' t
isotopes  /ay s ah t ow p s /i s o t o pe s
issue  /ih sh uw /i ss ue  
issued  /ih sh uw d /i ss u ed
issues  /ih sh uw z /i ss ue s
it  /ih t /i t
it's  /ih t s /i t' s
itching  /ih ch ih ng /i tch i ng
item  /ay t m /i te m
itemize  /ay t ah m ay z /i t e m i ze  
items  /ay t m z /i te m s
its  /ih t s /i t s
itself  /ih t s eh el f /i t s e l f
ivory  /ay v r iy /i vo r y
jabbed  /jh ae b d /j a bb ed
jackass  /jh ae k ae s /j a ck a ss
jacket  /jh ae k ih t /j a ck e t
jaded  /jh ey d ih d /j a d e d
jagged  /jh ae g ih d /j a gg e d
jaguars  /jh ae g w ao r z /j a g u a r s
jam  /jh ae m /j a m
jane  /jh ey en /j a ne  
january  /jh ae en y uw eh r iy /j a n * u a r y
jar  /jh ao r /j a r
jars  /jh ao r z /j a r s
jaw  /jh ao /j aw  
jealousies  /jh eh el ah s iy z /j ea l ou s ie s
jealousy  /jh eh el ah s iy /j ea l ou s y
jeep  /jh iy p /j ee p
jeff  /jh eh f /j e ff
jeff's  /jh eh f s /j e ff' s
jennifer's  /jh eh en ih f er z /j e nn i f er' s
jeopardize  /jh eh p er d ay z /j eo p ar d i ze  
jerk  /jh er k /j er k
jerky  /jh er k iy /j er k y
jet  /jh eh t /j e t
jewel  /jh uw el /j ew el
jewel-bright  /jh uw el b r ay t /j ew el- b r igh t
jim  /jh ih m /j i m
jim's  /jh ih m z /j i m' s
job  /jh ao b /j o b
jocular  /jh ao k y uh el er /j o c * u l ar
john  /jh ao en /j oh n
john's  /jh ao en z /j oh n' s
join  /jh oy en /j oi n
joining  /jh oy en ih ng /j oi n i ng
joint  /jh oy en t /j oi n t
jokers  /jh ow k er z /j o k er s
jokes  /jh ow k s /j o ke s
joking  /jh ow k ih ng /j o k i ng
journal  /jh er en el /jo ur n al
journalese  /jh er en ah el iy z /jo ur n a l e se  
journalist  /jh er en el ih s t /jo ur n al i s t
joyce  /jh oy s /j oy ce  
judge  /jh ah jh /j u dge  
judged  /jh ah jh d /j u dg ed
juice  /jh uw s /j ui ce  
juicy  /jh uw s iy /j ui c y
jump  /jh ah m p /j u m p
jumped  /jh ah m p t /j u m p ed
jungle  /jh ah ng g el /j u n g le  
jungle-like  /jh ah ng g el el ay k /j u n g le- l i ke  
junior  /jh uw en y er /j u n i or
just  /jh ah s t /j u s t
justification  /jh ah s t ih f ah k ey sh ih en /j u s t i f i c a * * tion
kayak  /k ay ae k /ka y a k
kayo  /k ey ow /k ay o
keelson  /k iy el s ah en /k ee l s o n
keep  /k iy p /k ee p
kept  /k eh p t /k e p t
kernels  /k er en el z /k er n el s
kerosene  /k eh r ih s iy en /k e r o s e ne  
key  /k iy /k ey  
keyed  /k iy d /k ey ed
keys  /k iy z /k ey s
kick  /k ih k /k i ck
kid  /k ih d /k i d
kid's  /k ih d z /k i d' s
kidnappers  /k ih d en ae p er z /k i d n a pp er s
kids  /k ih d z /k i d s
kill  /k ih el /k i ll
killed  /k ih el d /k i ll ed
kin  /k ih en /k i n
kind  /k ay en d /k i n d
kinda  /k ay en d ah /k i n d a
kindergarten  /k ih en d er g ao r t en /k i n d er g a r t en
kindly  /k ay en d el iy /k i n d l y
kippers  /k ih p er z /k i pp er s
kissed  /k ih s t /k i ss ed
kitchen  /k ih ch ih en /k i tch e n
knack  /en ae k /kn a ck
knee  /en iy /kn ee
kneeling  /en iy el ih ng /kn ee l i ng
knees  /en iy z /kn ee s
knew  /en uw /kn ew
knick-  /en ih k /kn i ck-  
knick-knacks  /en ih k en ae k s /kn i ck-k n a ck s
knife  /en ay f /kn i fe  
knifelike  /en ay f el ay k /kn i f el i ke  
knit  /en ih t /kn i t
knitted  /en ih t ih d /kn i tt e d
knives  /en ay v z /kn i ve s
knocked  /en ao k t /kn o ck ed
know  /en ow /kn ow  
knowed  /en ow d /kn ow ed
knowing  /en ow ih ng /kn ow i ng
knowingly  /en ow ih ng el iy /kn ow i ng l y
known  /en ow en /kn ow n
knows  /en ow z /kn ow s
labeled  /el ey b el d /l a b el ed
labor  /el ey b er /l a b or
laboratory  /el ae b r ih t ao r iy /l a bo r a t o r y
lacerate  /el ae s er ey t /l a c er a te  
lack  /el ae k /l a ck
lackeys  /el ae k iy z /l a ck ey s
lactating  /el ae k t ey t ih ng /l a c t a t i ng
lad  /el ae d /l a d
ladder  /el ae d er /l a dd er
lady's  /el ey d iy z /l a d y' s
ladylike  /el ey d iy el ay k /l a d y l i ke  
lagoon  /el ah g uw en /l a g oo n
laid  /el ey d /l ai d
lake  /el ey k /l a ke  
lamb's  /el ae m z /l a mb' s
lamp  /el ae m p /l a m p
lamps  /el ae m p s /l a m p s
land  /el ae en d /l a n d
land-based  /el ae en d b ey s t /l a n d- b a s ed
landlord  /el ae en d el ao r d /l a n d l o r d
landmarks  /el ae en d m ao r k s /l a n d m a r k s
language  /el ae ng g w ih jh /l a n g u a ge  
large  /el ao r jh /l a r ge  
largely  /el ao r jh el iy /l a r g el y
larger  /el ao r jh er /l a r g er
larvae  /el ao r v iy /l a r va e
lashed  /el ae sh t /l a sh ed
lashings  /el ae sh ih ng z /l a sh i ng s
last  /el ae s t /l a s t
latches  /el ae ch ih z /l a tch e s
late  /el ey t /l a te  
latent  /el ey t en t /l a t en t
later  /el ey t er /l a t er
latest  /el ey t ih s t /l a t e s t
lathe  /el ey dh /l a the  
latitudes  /el ae t ih t uw d z /l a t i t u de s
latter  /el ae t er /l a tt er
laugh  /el ae f /l au gh
laughed  /el ae f t /l au gh ed
laughing  /el ae f ih ng /l au gh i ng
lavishly  /el ae v ih sh el iy /l a v i sh l y
law  /el ao /l aw  
lawful  /el ao f uh el /l aw f u l
laws  /el ao z /l aw s
lawyer  /el ao y er /l aw y er
lawyers  /el ao y er z /l aw y er s
lay  /el ey /l ay
lay-up  /el ey ah p /l ay- u p
layoffs  /el ey ao f s /l ay o ff s
lazy  /el ey z iy /l a z y
lead  /el iy d /l ea d
leader  /el iy d er /l ea d er
leadership  /el iy d er sh ih p /l ea d er sh i p
leading  /el iy d ih ng /l ea d i ng
leaf  /el iy f /l ea f
leaflet  /el iy f el ih t /l ea f l e t
leagues  /el iy g z /l ea gue s
leap  /el iy p /l ea p
learn  /el er en /le ar n
learned  /el er en d /le ar n ed
least  /el iy s t /l ea s t
leather  /el eh dh er /l ea th er
leave  /el iy v /l ea ve  
leaves  /el iy v z /l ea ve s
leaving  /el iy v ih ng /l ea v i ng
leavings  /el iy v ih ng z /l ea v i ng s
led  /el eh d /l e d
ledger  /el eh jh er /l e dg er
leeway  /el iy w ey /l ee w ay
left  /el eh f t /l e f t
leg  /el eh g /l e g
legal  /el iy g el /l e g al
legend  /el eh jh ih en d /l e g e n d
legged  /el eh g d /l e gg ed
legislation  /el eh jh ih s el ey sh ih en /l e g i s l a * * tion
legislative  /el eh jh ih s el ey t ih v /l e g i s l a t i ve  
legislature  /el eh jh ih s el ey ch er /l e g i s l a t ure  
legs  /el eh g z /l e g s
leisure  /el iy sh er /l ei s ure  
lemon  /el eh m ah en /l e m o n
length  /el eh ng th /l e ng th
lengthy  /el eh ng th iy /l e ng th y
lentils  /el eh en t el z /l e n ti l s
leopards  /el eh p er d z /l eo p ar d s
less  /el eh s /l e ss
lesson  /el eh s en /l e ss on
lessons  /el eh s en z /l e ss on s
lest  /el eh s t /l e s t
let  /el eh t /l e t
let's  /el eh t s /l e t' s
letter  /el eh t er /l e tt er
letters  /el eh t er z /l e tt er s
level  /el eh v el /l e v el
level's  /el eh v el z /l e v el' s
leveling  /el eh v el ih ng /l e v el i ng
levels  /el eh v el z /l e v el s
lewd  /el uw d /l ew d
liberal  /el ih b er el /l i b er al
liberal-led  /el ih b er el el eh d /l i b er a l-l e d
liberals  /el ih b er el z /l i b er al s
library  /el ay b r eh r iy /l i b r a r y
lid  /el ih d /l i d
lids  /el ih d z /l i d s
lie  /el ay /l ie  
life  /el ay f /l i fe  
lifeboats  /el ay f b ow t s /l i fe b oa t s
lifelong  /el ay f el ao ng /l i f el o ng
lift  /el ih f t /l i f t
lifting  /el ih f t ih ng /l i f t i ng
ligament  /el ih g ah m ah en t /l i g a m e n t
light  /el ay t /l igh t
lightbulbs  /el ay t b ah el b z /l igh t b u l b s
lighted  /el ay t ih d /l igh t e d
lighter  /el ay t er /l igh t er
lightly  /el ay t el iy /l igh t l y
lights  /el ay t s /l igh t s
like  /el ay k /l i ke  
liked  /el ay k t /l i k ed
likely  /el ay k el iy /l i k el y
likes  /el ay k s /l i ke s
likewise  /el ay k w ay z /l i ke w i se  
lily  /el ih el iy /l i l y
limit  /el ih m ih t /l i m i t
limited  /el ih m ah t ih d /l i m i t e d
lincoln  /el ih ng k ah en /l i n c ol n
line  /el ay en /l i ne  
lines  /el ay en z /l i ne s
lion  /el ay ih en /l i o n
lip  /el ih p /l i p
lips  /el ih p s /l i p s
liquid  /el ih k w ih d /l i q u i d
liquids  /el ih k w ih d z /l i q u i d s
liquor  /el ih k er /l i qu or
list  /el ih s t /l i s t
listed  /el ih s t ih d /l i s t e d
lists  /el ih s t s /l i s t s
literally  /el ih t er ah el iy /l i t er a ll y
literary  /el ih t er eh r iy /l i t er a r y
literature  /el ih t er ah ch uh r /l i t er a t u re  
lithographs  /el ih th ah g r ae f s /l i th o g r a ph s
litter  /el ih t er /l i tt er
little  /el ih t el /l i tt le  
lived  /el ih v d /l i v ed
lively  /el ay v el iy /l i v el y
lives  /el ih v z /l i ve s
livestock  /el ay v s t ao k /l i ve s t o ck
live~adj  /el ay v /l i ve
live~v  /el ih v /l i ve
living  /el ih v ih ng /l i v i ng
loaded  /el ow d ih d /l oa d e d
loads  /el ow d z /l oa d s
lobes  /el ow b z /l o be s
local  /el ow k el /l o c al
locate  /el ow k ey t /l o c a te  
location  /el ow k ey sh ih en /l o c a * * tion
lock  /el ao k /l o ck
locked  /el ao k t /l o ck ed
lodge  /el ao jh /l o dge  
logical  /el ao jh ih k el /l o g i c al
logically  /el ao jh ih k el iy /l o g i c all y
logs  /el ao g z /l o g s
lone  /el ow en /l o ne  
loneliness  /el ow en el iy en ih s /l o n el i n e ss
long  /el ao ng /l o ng
long-overdue  /el ao ng ow v er d uw /l o ng- o v er d ue  
long-range  /el ao ng r ey en jh /l o ng- r a n ge  
long-term  /el ao ng t er m /l o ng- t er m
longed  /el ao ng d /l o ng ed
longer  /el ao ng g er /l o n g er
longitudes  /el ao en jh ih t uw d z /l o n g i t u de s
look  /el uh k /l oo k
looked  /el uh k t /l oo k ed
looking  /el uh k ih ng /l oo k i ng
looks  /el uh k s /l oo k s
looms  /el uw m z /l oo m s
loose  /el uw s /l oo se  
lori's  /el ao r iy z /l o r i' s
lose  /el uw z /l o se  
loss  /el ao s /l o ss
losses  /el ao s ih z /l o ss e s
lost  /el ao s t /l o s t
lot  /el ao t /l o t
lotions  /el ow sh ih en z /l o * * tion s
lots  /el ao t s /l o t s
loudest  /el aw d ih s t /l ou d e s t
loudly  /el aw d el iy /l ou d l y
louse  /el aw s /l ou se  
lousiness  /el aw z iy en ih s /l ou s i n e ss
love  /el ah v /l o ve  
loved  /el ah v d /l o v ed
lovely  /el ah v el iy /l o v el y
lovie  /el ah v iy /l o v ie  
loving  /el ah v ih ng /l o v i ng
low  /el ow /l ow  
lower  /el ow er /l ow er
lowered  /el ow er d /l ow er ed
loyal  /el oy el /l oy al
loyalties  /el oy el t iy z /l oy al t ie s
luck  /el ah k /l u ck
lucky  /el ah k iy /l u ck y
lullaby  /el ah el ih b ay /l u ll a b y
lumber  /el ah m b er /l u m b er
lunch  /el ah en ch /l u n ch
lunchroom  /el ah en ch r uw m /l u n ch r oo m
lungs  /el ah ng z /l u ng s
lush  /el ah sh /l u sh
luxurious  /el ah g sh uh r iy ah s /l u * x u r i ou s
luxury  /el ah k sh er iy /l u * x ur y
lying  /el ay ih ng /l y i ng
ma'am  /m ae m /m a'a m
macabre  /m ah k ao b r ah /m a c a b r e
machine  /m ah sh iy en /m a ch i ne  
machinery  /m ah sh iy en er iy /m a ch i n er y
machines  /m ah sh iy en z /m a ch i ne s
mad  /m ae d /m a d
made  /m ey d /m a de  
madstones  /m ae d s t ow en z /m a d s t o ne s
magnetic  /m ae g en eh t ih k /m a g n e t i c
magnetism  /m ae g en ih t ih z m /m a g n e t i s m
magnificently  /m ae g en ih f ih s ih en t el iy /m a g n i f i c e n t l y
magnified  /m ae g en ih f ay d /m a g n i f i ed
magpies  /m ae g p ay z /m a g p ie s
mahogany  /m ah hh ao g ih en iy /m a h o g a n y
maids'  /m ey d z /m ai d s'  
mail  /m ey el /m ai l
main  /m ey en /m ai n
maintain  /m ey en t ey en /m ai n t ai n
maintenance  /m ey en t ih en ih en s /m ai n t e n a n ce  
major  /m ey jh er /m a j or
majority  /m ah jh ao r ih t iy /m a j o r i t y
make  /m ey k /m a ke  
makes  /m ey k s /m a ke s
making  /m ey k ih ng /m a k i ng
maladies  /m ae el ah d iy z /m a l a d ie s
malaria  /m ah el ae r iy ah /m a l a r i a
male  /m ey el /m a le  
mammals  /m ae m el z /m a mm al s
man  /m ae en /m a n
man's  /m ae en z /m a n' s
manage  /m ae en ih jh /m a n a ge  
managed  /m ae en ih jh d /m a n a g ed
management  /m ae en ih jh m ah en t /m a n a ge m e n t
mandates  /m ae en d ey t s /m a n d a te s
mango  /m ae ng g ow /m a n g o
manhood  /m ae en hh uh d /m a n h oo d
manifest  /m ae en ah f eh s t /m a n i f e s t
manner  /m ae en er /m a nn er
mannerism  /m ae en er ih z m /m a nn er i s m
manners  /m ae en er z /m a nn er s
manual  /m ae en y uw el /m a n * u al
manufacturer  /m ae en y uw f ae k ch er er /m a n * u f a c t ur er
manufacturers  /m ae en y uw f ae k ch er er z /m a n * u f a c t ur er s
manure  /m ah en uh er /m a n u re  
many  /m eh en iy /m a n y
many-bodied  /m eh en iy b ao d iy d /m a n y- b o d i ed
map  /m ae p /m a p
mare's  /m ae r z /m a re' s
margaret  /m ao r g r ah t /m a r ga r e t
marine  /m er iy en /m ar i ne  
marine's  /m er iy en z /m ar i ne' s
mark  /m ao r k /m a r k
marketing  /m ao r k ih t ih ng /m a r k e t i ng
markets  /m ao r k ih t s /m a r k e t s
marks  /m ao r k s /m a r k s
marksmanship  /m ao r k s m ah en sh ih p /m a r k s m a n sh i p
marriage  /m ae r ih jh /m a rr ia ge  
married  /m ae r iy d /m a rr i ed
marshmallows  /m ao r sh m eh el ow z /m a r sh m a ll ow s
marvel  /m ao r v el /m a r v el
marvelously  /m ao r v el ah s el iy /m a r v el ou s l y
mask  /m ae s k /m a s k
masks  /m ae s k s /m a s k s
masonry  /m ey s en r iy /m a s on r y
masquerade  /m ae s k er ey d /m a s qu er a de  
mass  /m ae s /m a ss
massage  /m ah s ao sh /m a ss a ge
massive  /m ae s ih v /m a ss i ve  
master  /m ae s t er /m a s t er
master's  /m ae s t er z /m a s t er' s
masterful  /m ae s t er f uh el /m a s t er f u l
matched  /m ae ch t /m a tch ed
matching  /m ae ch ih ng /m a tch i ng
mate  /m ey t /m a te  
material  /m ah t ih r iy el /m a t e r i al
materials  /m ah t ih r iy el z /m a t e r i al s
mates  /m ey t s /m a te s
mathematics  /m ae th ah m ae t ih k s /m a th e m a t i c s
mathews  /m ae th y uw z /m a th * ew s
matter  /m ae t er /m a tt er
matters  /m ae t er z /m a tt er s
mattresses  /m ae t r ih s ih z /m a tt r e ss e s
maturity  /m ah ch uh r ih t iy /m a t u r i t y
maximal  /m ae k s ah m el /m a * x i m al
maximize  /m ae k s ih m ay z /m a * x i m i ze  
maximum  /m ae k s ih m ah m /m a * x i m u m
may  /m ey /m ay
mayan  /m ay ah en /ma y a n
maybe  /m ey b iy /m ay b e
mayonnaise  /m ey ah en ey z /m ay o nn ai se  
me  /m iy /m e
meadow  /m eh d ow /m ea d ow  
meals  /m iy el z /m e al s
mealynosed  /m iy el iy en ow z d /m e al y n o s ed
mean  /m iy en /m ea n
meaning  /m iy en ih ng /m ea n i ng
meaningful  /m iy en ih ng f uh el /m ea n i ng f u l
meanness  /m iy en ih s /m ea nn e ss
means  /m iy en z /m ea n s
meant  /m eh en t /m ea n t
meanwhile  /m iy en hh w ay el /m ea n * wh i le  
measure  /m eh sh er /m ea s ure  
measured  /m eh sh er d /m ea s ur ed
measurement  /m eh sh er m ah en t /m ea s ure m e n t
meat  /m iy t /m ea t
meats  /m iy t s /m ea t s
mechanic  /m ih k ae en ih k /m e ch a n i c
mechanical  /m ih k ae en ih k el /m e ch a n i c al
mechanism  /m eh k ah en ih z m /m e ch a n i s m
media  /m iy d iy ah /m e d i a
median  /m iy d iy ah en /m e d i a n
medical  /m eh d ih k el /m e d i c al
medicine  /m eh d ih s ih en /m e d i c i ne  
medieval  /m iy d ih iy v el /m e d i e v al
mediocrity  /m iy d iy ao k r ih t iy /m e d i o c r i t y
meet  /m iy t /m ee t
meeting  /m iy t ih ng /m ee t i ng
meetings  /m iy t ih ng z /m ee t i ng s
melancholy  /m eh el ih en k ao el iy /m e l a n ch o l y
melodramatic  /m eh el ow d r ah m ae t ih k /m e l o d r a m a t i c
melody  /m eh el ah d iy /m e l o d y
melted  /m eh el t ih d /m e l t e d
member  /m eh m b er /m e m b er
members  /m eh m b er z /m e m b er s
membership  /m eh m b er sh ih p /m e m b er sh i p
memo  /m eh m ow /m e m o
memorized  /m eh m er ay z d /m e m or i z ed
memory  /m eh m er iy /m e m or y
men  /m eh en /m e n
mental  /m eh en t el /m e n t al
mentality  /m eh en t ae el ih t iy /m e n t a l i t y
mention  /m eh en sh ih en /m e n * * tion
meow  /m iy aw /m e ow
mercenary  /m er s en eh r iy /m er c en a r y
merchandising  /m er ch ih en d ay z ih ng /m er ch a n d i s i ng
mercilessly  /m er s el eh s el iy /m er ci l e ss l y
mere  /m ih r /m e re  
merely  /m ih r el iy /m e r el y
merger  /m er jh er /m er g er
mergers  /m er jh er z /m er g er s
merit  /m eh r ih t /m e r i t
merrily  /m eh r ih el iy /m e rr i l y
mess  /m eh s /m e ss
message  /m eh s ih jh /m e ss a ge  
messy  /m eh s iy /m e ss y
met  /m eh t /m e t
metal  /m eh t el /m e t al
metallic  /m ah t ae el ih k /m e t a ll i c
method  /m eh th ah d /m e th o d
methods  /m eh th ah d z /m e th o d s
mettle  /m eh t el /m e tt le  
miami  /m ay ae m iy /m i a m i
michael  /m ay k el /m i cha el
micrometeorite  /m ay k r ow m iy t iy er ay t /m i c r o m e t e or i te  
micrometeorites  /m ay k r ow m iy t iy er ay t s /m i c r o m e t e or i te s
microorganisms  /m ay k r ow ao r g ih en ih z m z /m i c r o o r g a n i s m s
microscopically  /m ay k r ih s k ao p ih k el iy /m i c r o s c o p i c all y
midair  /m ih d ae r /m i d ai r
midnight  /m ih d en ay t /m i d n igh t
might  /m ay t /m igh t
mighty  /m ay t iy /m igh t y
mike  /m ay k /m i ke  
mile  /m ay el /m i le  
miles  /m ay el z /m i le s
military  /m ih el ih t eh r iy /m i l i t a r y
milk  /m ih el k /m i l k
millionaires  /m ih el y ah en ae r z /m i ll i o n ai re s
mind  /m ay en d /m i n d
minded  /m ay en d ih d /m i n d e d
minds  /m ay en d z /m i n d s
mine  /m ay en /m i ne  
mining  /m ay en ih ng /m i n i ng
minister  /m ih en ih s t er /m i n i s t er
minor  /m ay en er /m i n or
minority  /m ay en ao r ah t iy /m i n o r i t y
minute  /m ih en ih t /m i n u te  
minutes  /m ih en ih t s /m i n u te s
miraculous  /m er ae k y uh el ah s /m ir a c * u l ou s
miraculously  /m er ae k y uh el ah s el iy /m ir a c * u l ou s l y
mirage  /m er ao sh /m ir a ge
mirror  /m ih r er /m i rr or
mirrors  /m ih r er z /m i rr or s
misbehavior  /m ih s b ih hh ey v y er /m i s b e h a v i or
miserable  /m ih z er ah b el /m i s er a b le  
misery  /m ih z er iy /m i s er y
mishap  /m ih s hh ae p /m i s h a p
misinterpret  /m ih s en t er p r ah t /m i si n t er p r e t
misleading  /m ih s el iy d ih ng /m i s l ea d i ng
misperceives  /m ih s p er s iy v z /m i s p er c ei ve s
misplaced  /m ih s p el ey s t /m i s p l a c ed
misprint  /m ih s p r ih en t /m i s p r i n t
misquote  /m ih s k w ow t /m i s q u o te  
miss  /m ih s /m i ss
mistaken  /m ih s t ey k ih en /m i s t a k e n
mixed  /m ih k s t /m i * x ed
mixing  /m ih k s ih ng /m i * x i ng
mobile  /m ow b el /m o bi le  
mock  /m ao k /m o ck
moded  /m ow d ih d /m o d e d
modeled  /m ao d el d /m o d el ed
modeling  /m ao d el ih ng /m o d el i ng
models  /m ao d el z /m o d el s
modern  /m ao d er en /m o d er n
modernization  /m ao d er en ih z ey sh ih en /m o d er n i z a * * tion
modernizing  /m ao d er en ay z ih ng /m o d er n i z i ng
modest  /m ao d ih s t /m o d e s t
modesty  /m ao d ih s t iy /m o d e s t y
modified  /m ao d ih f ay d /m o d i f i ed
modular  /m ao jh uh el er /m o d u l ar
moist  /m oy s t /m oi s t
moistened  /m oy s en d /m oi st en ed
moisture  /m oy s ch er /m oi s t ure  
mold  /m ow el d /m o l d
molded  /m ow el d ih d /m o l d e d
mollusks  /m ao el ah s k s /m o ll u s k s
mom  /m ao m /m o m
moment  /m ow m ah en t /m o m e n t
momentary  /m ow m ah en t eh r iy /m o m e n t a r y
moments  /m ow m ah en t s /m o m e n t s
momma  /m ao m ah /m o mm a
monday  /m ah en d ey /m o n d ay
money  /m ah en iy /m o n ey  
monitored  /m ao en ih t er d /m o n i t or ed
monkey  /m ah ng k iy /m o n k ey  
monkey-gland  /m ah ng k iy g el ae en d /m o n k ey- g l a n d
monopolize  /m ah en ao p ah el ay z /m o n o p o l i ze  
monstrous  /m ao en s t r ah s /m o n s t r ou s
month  /m ah en th /m o n th
months  /m ah en th s /m o n th s
moon  /m uw en /m oo n
moonlight  /m uw en el ay t /m oo n l igh t
mopped  /m ao p t /m o pp ed
moral  /m ao r el /m o r al
morale  /m er ae el /m or a le  
more  /m ao r /m o re  
moreover  /m ao r ow v er /m o re o v er
morgue  /m ao r g /m o r gue  
morning  /m ao r en ih ng /m o r n i ng
morphological  /m ao r f ah el ao jh ih k el /m o r ph o l o g i c al
morphophonemic  /m ao r f ow f ow en iy m ih k /m o r ph o ph o n e m i c
morrow  /m ao r ow /m o rr ow  
mosquitoes  /m ah s k iy t ow z /m o s qu i t oe s
moss  /m ao s /m o ss
most  /m ow s t /m o s t
mostly  /m ow s t el iy /m o s t l y
motel  /m ow t eh el /m o t e l
moth  /m ao th /m o th
mother  /m ah dh er /m o th er
mother's  /m ah dh er z /m o th er' s
mothers  /m ah dh er z /m o th er s
mothers-in-law  /m ah dh er z ih en el ao /m o th er s- i n- l aw  
motioning  /m ow sh ih en ih ng /m o * * tion i ng
motivates  /m ow t ih v ey t s /m o t i v a te s
motor  /m ow t er /m o t or
motorists  /m ow t er ih s t s /m o t or i s t s
motorists'  /m ow t er ih s t s /m o t or i s t s'  
mount  /m aw en t /m ou n t
mountain  /m aw en t en /m ou n tai n
mountainside  /m aw en t en s ay d /m ou n tai n s i de  
mounting  /m aw en t ih ng /m ou n t i ng
mournfully  /m ao r en f uh el iy /m ou r n f u ll y
mouse  /m aw s /m ou se  
mouth  /m aw th /m ou th
mouthful  /m aw th f uh el /m ou th f u l
move  /m uw v /m o ve  
moved  /m uw v d /m o v ed
movement  /m uw v m ah en t /m o ve m e n t
moves  /m uw v z /m o ve s
movie  /m uw v iy /m o v ie  
movies  /m uw v iy z /m o v ie s
moving  /m uw v ih ng /m o v i ng
much  /m ah ch /m u ch
mucus  /m y uw k ih s /m * u c u s
muddleheaded  /m ah d el hh eh d ih d /m u dd le h ea d e d
muddy  /m ah d iy /m u dd y
mudwagon  /m ah d w ae g ah en /m u d w a g o n
muffled  /m ah f el d /m u ff l ed
mugs  /m ah g z /m u g s
multiple  /m ah el t ah p el /m u l t i p le  
murals  /m y uh r el z /m * u r al s
murder  /m er d er /m ur d er
murderer  /m er d er er /m ur d er er
murky  /m er k iy /m ur k y
murmured  /m er m er d /m ur m ur ed
muscle  /m ah s el /m u sc le  
muscles  /m ah s el z /m u sc le s
muscular  /m ah s k y uh el er /m u s c * u l ar
museum  /m y uw z iy ah m /m * u s e u m
museums  /m y uw z iy ah m z /m * u s e u m s
music  /m y uw z ih k /m * u s i c
musical  /m uw z ih k el /m u s i c al
musicians  /m y uw z ih sh ih en z /m * u s i c ia n s
muskrat  /m ah s k r ae t /m u s k r a t
must  /m ah s t /m u s t
mustache  /m ah s t ae sh /m u s t a che  
mustard  /m ah s t er d /m u s t ar d
mutineer  /m y uw t en ih r /m * u ti n ee r
my  /m ay /m y
myopia  /m ay ow p iy ah /m y o p i a
myself  /m ay s eh el f /m y s e l f
mysterious  /m ih s t ih r iy ah s /m y s t e r i ou s
mystery  /m ih s t er iy /m y s t er y
nagging  /en ae g ih ng /n a gg i ng
nailed  /en ey el d /n ai l ed
nails  /en ey el z /n ai l s
naive  /en ao iy v /n a i ve  
naked  /en ey k ih d /n a k e d
name  /en ey m /n a me  
named  /en ey m d /n a m ed
names  /en ey m z /n a me s
nan's  /en ae en z /n a n' s
narrow  /en ae r ow /n a rr ow  
narrower  /en ae r ow er /n a rr ow er
nasty  /en ae s t iy /n a s t y
nathan  /en ey th ih en /n a th a n
national  /en ae sh ih en el /n a * * tion al
natural  /en ae ch er el /n a t ur al
naturally  /en ae ch er ah el iy /n a t ur a ll y
nature  /en ey ch er /n a t ure  
navigate  /en ae v ah g ey t /n a v i g a te  
near  /en ih r /n ea r
near-at-hand  /en ih r ae t hh ae en d /n ea r- a t- h a n d
nearby  /en ih r b ay /n ea r b y
nearer  /en ih r er /n ea r er
nearest  /en ih r ih s t /n ea r e s t
